CompanyCode,StockShortName,Shariah,Sector,CompanyFullName,Date
5136,COMPLET,No,Transportation & Logistics Services ,COMPLETE LOGISTIC SERVICES BERHAD,20210704
5037,COMPUGT,Yes,Industrial Services ,COMPUGATES HOLDINGS BERHAD,20210704
0102,CONNECT,Yes,"Industrial Materials, Components & Equipment ",CONNECTCOUNTY HOLDINGS BERHAD,20210704
8591,CRESBLD,Yes,Construction ,CREST BUILDER HOLDINGS BERHAD,20210704
6718,CRESNDO,Yes,Property ,CRESCENDO CORPORATION BERHAD,20210704
03016,CRG,Yes,Personal Goods ,CRG INCORPORATED BERHAD,20210704
7202,CSCENIC,Yes,Household Goods ,CLASSIC SCENIC BERHAD,20210704
5094,CSCSTEL,Yes,Metals ,CSC STEEL HOLDINGS BERHAD,20210704
03035,CTIB,Yes,Industrial Services ,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,20210704
0051,CUSCAPI,Yes,Software ,CUSCAPI BERHAD,20210704
5049,CVIEW,Yes,Property ,COUNTRY VIEW BERHAD,20210704
9423,CWG,Yes,Consumer Services ,CWG HOLDINGS BERHAD,20210704
7157,CYL,Yes,Packaging Materials ,CYL CORPORATION BERHAD,20210704
5184,CYPARK,Yes,Industrial Services ,CYPARK RESOURCES BERHAD,20210704
7204,D&O,Yes,Semiconductors ,D&O GREEN TECHNOLOGIES BERHAD,20210704
8125,DAIBOCI,Yes,Packaging Materials ,DAIBOCHI BERHAD,20210704
5276,DANCO,Yes,"Industrial Materials, Components & Equipment ",DANCOMECH HOLDINGS BERHAD,20210704
8338,DATAPRP,Yes,Digital Services ,DATAPREP HOLDINGS BHD,20210704
0091,DAYA,No,"Energy Infrastructure, Equipment & Services ",DAYA MATERIALS BERHAD,20210704
5141,DAYANG,Yes,"Energy Infrastructure, Equipment & Services ",DAYANG ENTERPRISE HOLDINGS BERHAD,20210704
3484,DBHD,Yes,Property ,DAMANSARA REALTY BHD,20210704
5132,DELEUM,Yes,"Energy Infrastructure, Equipment & Services ",DELEUM BERHAD,20210704
7212,DESTINI,Yes,Industrial Engineering ,DESTINI BERHAD,20210704
5165,DFCITY,Yes,Building Materials ,DFCITY GROUP BERHAD,20210704
0152,DGB,Yes,Software ,DGB ASIA BERHAD,20210704
0131,DGSB,No,Digital Services ,DIVERSIFIED GATEWAY SOLUTIONS BERHAD,20210704
7277,DIALOG,Yes,"Energy Infrastructure, Equipment & Services ",DIALOG GROUP BERHAD,20210704
6947,DIGI,Yes,Telecommunications Service Providers ,DIGI.COM BERHAD,20210704
0029,DIGISTA,No,Digital Services ,DIGISTAR CORPORATION BERHAD,20210704
0400GA,DIN040000223,Yes,Islamic-gg ,DANAINFRA NASIONAL-ETBS 4%0223,20210704
0400GC,DIN042300721,Yes,Islamic-gg ,DANAINFRA NASIONAL-ETBS 4.23%0721,20210704
0400GB,DIN045801028,Yes,Islamic-gg ,DANAINFRA NASIONAL-ETBS4.58%1028,20210704
7528,DKLS,Yes,Construction ,DKLS INDUSTRIES BHD,20210704
5908,DKSH,Yes,Consumer Services ,DKSH HOLDINGS (MALAYSIA) BERHAD,20210704
3026,DLADY,Yes,Food & Beverages ,DUTCH LADY MILK INDUSTRIES BERHAD,20210704
